id;nic_name;bio;real_user_id;department_id
1;harness index;THX Frozen;2;1
2;Movies secondary alarm;web-enabled Licensed;1;2
3;real-time;Cotton calculate Cross-group;1;3
4;copy Cambridgeshire;matrix Generic Wooden Towels;1;4
5;Freeway Rubber multi-byte;Isle of Man Handmade ability;2;5
6;Developer Argentina;Quality Universal;1;6
7;Branding;Plastic leverage Cotton;1;7
8;Upgradable;solid state;2;8
9;multi-byte UAE Dirham;Buckinghamshire California;2;9
10;Handcrafted Fresh Pizza cyan bluetooth;experiences;2;10
